# Process no.:  1 Process name:   n1n1_uux
# pinit (GeV)    cross section (pb)
  1.00000000E+00  2.66124251E-04
  1.03514217E+00  2.75476046E-04
  1.07151931E+00  2.85156440E-04
  1.10917482E+00  2.95176978E-04
  1.14815362E+00  3.05549607E-04
  1.18850223E+00  3.16286695E-04
  1.23026877E+00  3.27401043E-04
  1.27350308E+00  3.38905903E-04
  1.31825674E+00  3.50814989E-04
  1.36458314E+00  3.63142499E-04
  1.41253754E+00  3.75903127E-04
  1.46217717E+00  3.89112084E-04
  1.51356125E+00  4.02785113E-04
  1.56675107E+00  4.16938510E-04
  1.62181010E+00  4.31589141E-04
  1.67880402E+00  4.46754464E-04
  1.73780083E+00  4.62452549E-04
  1.79887092E+00  4.78702099E-04
  1.86208714E+00  4.95522471E-04
  1.92752491E+00  5.12933702E-04
  1.99526231E+00  5.30956528E-04
  2.06538016E+00  5.49612412E-04
  2.13796209E+00  5.68923570E-04
  2.21309471E+00  5.88912991E-04
  2.29086765E+00  6.09604471E-04
  2.37137371E+00  6.31022637E-04
  2.45470892E+00  6.53192976E-04
  2.54097271E+00  6.76141867E-04
  2.63026799E+00  6.99896608E-04
  2.72270131E+00  7.24485450E-04
  2.81838293E+00  7.49937631E-04
  2.91742701E+00  7.76283407E-04
  3.01995172E+00  8.03554089E-04
  3.12607937E+00  8.31782076E-04
  3.23593657E+00  8.61000899E-04
  3.34965439E+00  8.91245250E-04
  3.46736850E+00  9.22551031E-04
  3.58921935E+00  9.54955387E-04
  3.71535229E+00  9.88496755E-04
  3.84591782E+00  1.02321490E-03
  3.98107171E+00  1.05915097E-03
  4.12097519E+00  1.09634754E-03
  4.26579519E+00  1.13484863E-03
  4.41570447E+00  1.17469982E-03
  4.57088190E+00  1.21594822E-03
  4.73151259E+00  1.25864260E-03
  4.89778819E+00  1.30283338E-03
  5.06990708E+00  1.34857272E-03
  5.24807460E+00  1.39591457E-03
  5.43250331E+00  1.44491472E-03
  5.62341325E+00  1.49563086E-03
  5.82103218E+00  1.54812267E-03
  6.02559586E+00  1.60245183E-03
  6.23734835E+00  1.65868212E-03
  6.45654229E+00  1.71687951E-03
  6.68343918E+00  1.77711215E-03
  6.91830971E+00  1.83945051E-03
  7.16143410E+00  1.90396743E-03
  7.41310241E+00  1.97073819E-03
  7.67361489E+00  2.03984056E-03
  7.94328235E+00  2.11135493E-03
  8.22242650E+00  2.18536432E-03
  8.51138038E+00  2.26195451E-03
  8.81048873E+00  2.34121411E-03
  9.12010839E+00  2.42323462E-03
  9.44060876E+00  2.50811052E-03
  9.77237221E+00  2.59593937E-03
  1.01157945E+01  2.68682186E-03
  1.04712855E+01  2.78086194E-03
  1.08392691E+01  2.87816688E-03
  1.12201845E+01  2.97884734E-03
  1.16144861E+01  3.08301752E-03
  1.20226443E+01  3.19079518E-03
  1.24451461E+01  3.30230177E-03
  1.28824955E+01  3.41766252E-03
  1.33352143E+01  3.53700652E-03
  1.38038426E+01  3.66046686E-03
  1.42889396E+01  3.78818064E-03
  1.47910839E+01  3.92028918E-03
  1.53108746E+01  4.05693804E-03
  1.58489319E+01  4.19827716E-03
  1.64058977E+01  4.34446098E-03
  1.69824365E+01  4.49564855E-03
  1.75792361E+01  4.65200363E-03
  1.81970086E+01  4.81369488E-03
  1.88364909E+01  4.98089593E-03
  1.94984460E+01  5.15378561E-03
  2.01836636E+01  5.33254806E-03
  2.08929613E+01  5.51737295E-03
  2.16271852E+01  5.70845569E-03
  2.23872114E+01  5.90599764E-03
  2.31739465E+01  6.11020639E-03
  2.39883292E+01  6.32129608E-03
  2.48313311E+01  6.53948769E-03
  2.57039578E+01  6.76500944E-03
  2.66072506E+01  6.99809724E-03
  2.75422870E+01  7.23899520E-03
  2.85101827E+01  7.48795613E-03
  2.95120923E+01  7.74524224E-03
  3.05492111E+01  8.01112580E-03
  3.16227766E+01  8.28589002E-03
  3.27340695E+01  8.56982988E-03
  3.38844156E+01  8.86325318E-03
  3.50751874E+01  9.16648164E-03
  3.63078055E+01  9.47985213E-03
  3.75837404E+01  9.80371801E-03
  3.89045145E+01  1.01384506E-02
  4.02717034E+01  1.04844405E-02
  4.16869383E+01  1.08420998E-02
  4.31519077E+01  1.12118631E-02
  4.46683592E+01  1.15941897E-02
  4.62381021E+01  1.19895651E-02
  4.78630092E+01  1.23985032E-02
  4.95450191E+01  1.28215475E-02
  5.12861384E+01  1.32592728E-02
  5.30884444E+01  1.37122864E-02
  5.49540874E+01  1.41812296E-02
  5.68852931E+01  1.46667778E-02
  5.88843655E+01  1.51696409E-02
  6.09536897E+01  1.56905629E-02
  6.30957344E+01  1.62303203E-02
  6.53130553E+01  1.67897208E-02
  6.76082975E+01  1.73695995E-02
  6.99841996E+01  1.79708151E-02
  7.24435960E+01  1.85942440E-02
  7.49894209E+01  1.92407740E-02
  7.76247117E+01  1.99112951E-02
  8.03526122E+01  2.06066895E-02
  8.31763771E+01  2.13278198E-02
  8.60993752E+01  2.20755148E-02
  8.91250938E+01  2.28505538E-02
  9.22571427E+01  2.36536487E-02
  9.54992586E+01  2.44854240E-02
  9.88553095E+01  2.53463952E-02
  1.02329299E+02  2.62369449E-02
  1.05925373E+02  2.71572975E-02
  1.09647820E+02  2.81074922E-02
  1.13501082E+02  2.90873550E-02
  1.17489755E+02  3.00964692E-02
  1.21618600E+02  3.11341464E-02
  1.25892541E+02  3.21993962E-02
  1.30316678E+02  3.32908978E-02
  1.34896288E+02  3.44069719E-02
  1.39636836E+02  3.55455553E-02
  1.44543977E+02  3.67041774E-02
  1.49623566E+02  3.78799414E-02
  1.54881662E+02  3.90695096E-02
  1.60324539E+02  4.02690938E-02
  1.65958691E+02  4.14744532E-02
  1.71790839E+02  4.26808988E-02
  1.77827941E+02  4.38833061E-02
  1.84077200E+02  4.50761369E-02
  1.90546072E+02  4.62534705E-02
  1.97242274E+02  4.74090441E-02
  2.04173794E+02  4.85363035E-02
  2.11348904E+02  4.96284634E-02
  2.18776162E+02  5.06785764E-02
  2.26464431E+02  5.16796106E-02
  2.34422882E+02  5.26245346E-02
  2.42661010E+02  5.35064072E-02
  2.51188643E+02  5.43184723E-02
  2.60015956E+02  5.50542550E-02
  2.69153480E+02  5.57076574E-02
  2.78612117E+02  5.62730523E-02
  2.88403150E+02  5.67453715E-02
  2.98538262E+02  5.71201876E-02
  3.09029543E+02  5.73937861E-02
  3.19889511E+02  5.75632261E-02
  3.31131121E+02  5.76263888E-02
  3.42767787E+02  5.75820115E-02
  3.54813389E+02  5.74297065E-02
  3.67282300E+02  5.71699657E-02
  3.80189396E+02  5.68041486E-02
  3.93550075E+02  5.63344570E-02
  4.07380278E+02  5.57638948E-02
  4.21696503E+02  5.50962160E-02
  4.36515832E+02  5.43358616E-02
  4.51855944E+02  5.34878874E-02
  4.67735141E+02  5.25578847E-02
  4.84172368E+02  5.15518960E-02
  5.01187234E+02  5.04763275E-02
  5.18800039E+02  4.93378610E-02
  5.37031796E+02  4.81433666E-02
  5.55904257E+02  4.68998173E-02
  5.75439937E+02  4.56142087E-02
  5.95662144E+02  4.42934835E-02
  6.16595002E+02  4.29444621E-02
  6.38263486E+02  4.15737807E-02
  6.60693448E+02  4.01878368E-02
  6.83911647E+02  3.87927428E-02
  7.07945784E+02  3.73942868E-02
  7.32824533E+02  3.59979022E-02
  7.58577575E+02  3.46086441E-02
  7.85235635E+02  3.32311730E-02
  8.12830516E+02  3.18697454E-02
  8.41395142E+02  3.05282097E-02
  8.70963590E+02  2.92100084E-02
  9.01571138E+02  2.79181842E-02
  9.33254301E+02  2.66553906E-02
  9.66050879E+02  2.54239059E-02
  1.00000000E+03  2.42256498E-02
